Drug[UMLS_CUI];DrugTargets[EntrezGene];Disease[UMLS_CUI];DiseaseProteins[EntrezGene]
"[""C0025810"",""C0012201"",""C0085208"",""C1169997""]";[6530,6531];"""C0027404""";[1120,1375,1512,3060,3062,3119,3123,4340,5032,5179,6863,7200,7292,8835,22891,56342,692312]
"[""C0025611"",""C0074493"",""C0024977""]";[6530,6531,6532];"""C0027404""";[1120,1375,1512,3060,3062,3119,3123,4340,5032,5179,6863,7200,7292,8835,22891,56342,692312]
"[""C0032950"",""C0020268"",""C0011777"",""C0040864"",""C0054201"",""C0025815"",""C0060501"",""C0010137"",""C0032952"",""C0004905"",""C0360564"",""C0907850"",""C1948374"",""C0058004"",""C0005308"",""C0016299"",""C0016298"",""C0071836"",""C0304612"",""C0011707"",""C0082787""]";2908;"""C0027430""";4254
"[""C0082607"",""C0026088""]";[2908,5241];"""C0027430""";4254
"""C0008294""";[6557,6559];"""C0027726""";[2,213,462,914,1277,1282,1284,2152,2247,2262,2981,3123,3291,3558,4690,5054,6648,7018,7040,7827,8440]
"[""C0032950"",""C0020268"",""C0011777"",""C0040864"",""C0054201"",""C0025815"",""C0060501"",""C0010137"",""C0032952"",""C0004905"",""C0360564"",""C0907850"",""C1948374"",""C0058004"",""C0005308"",""C0016299"",""C0016298"",""C0071836"",""C0304612"",""C0011707"",""C0082787""]";2908;"""C0027726""";[2,213,462,914,1277,1282,1284,2152,2247,2262,2981,3123,3291,3558,4690,5054,6648,7018,7040,7827,8440]
"[""C0020261"",""C0032613"",""C0020273"",""C0025696"",""C0025854"",""C0056831"",""C0008273"",""C0164608"",""C0040899"",""C0021186"",""C0004975""]";6559;"""C0027726""";[2,213,462,914,1277,1282,1284,2152,2247,2262,2981,3123,3291,3558,4690,5054,6648,7018,7040,7827,8440]
"[""C0076840"",""C0016860"",""C0014963""]";6557;"""C0027726""";[2,213,462,914,1277,1282,1284,2152,2247,2262,2981,3123,3291,3558,4690,5054,6648,7018,7040,7827,8440]
"""C0006376""";[476,6557,6558];"""C0027726""";[2,213,462,914,1277,1282,1284,2152,2247,2262,2981,3123,3291,3558,4690,5054,6648,7018,7040,7827,8440]
"[""C0070166"",""C1620287"",""C1999375"",""C0040207""]";64805;"""C0027947""";[1437,1440,1806,1991,2213,3440,3553,4524,5243,7172,8797,54658,84522]
"""C0216231""";1438;"""C0027947""";[1437,1440,1806,1991,2213,3440,3553,4524,5243,7172,8797,54658,84522]
"[""C0210630"",""C1136535""]";1441;"""C0027947""";[1437,1440,1806,1991,2213,3440,3553,4524,5243,7172,8797,54658,84522]
"""C0031495""";[148,6530];"""C0028754""";[28,32,34,47,54,115,125,142,153,154,155,181,207,348,364,412,590,627,650,761,781,783,815,834,1002,1066,1136,1149,1232,1238,1268,1282,1350,1361,1363,1401,1431,1489,1520,1528,1571,1630,1728,1780,1806,1826,1892,1947,2033,2065,2099,2110,2119,2147,2166,2180,2194,2262,2309,2512,2532,2641,2643,2673,2688,2696,2752,2778,2780,2784,2876,2878,3033,3099,3148,3162,3213,3215,3290,3356,3358,3382,3383,3428,3481,3485,3569,3630,3667,3708,3710,3778,3818,3929,3949,3952,3953,4023,4145,4159,4160,4199,4318,4329,4519,4544,4594,4660,4673,4685,4808,4814,4855,4864,4886,4889,4915,5054,5079,5101,5105,5122,5126,5167,5209,5346,5367,5443,5465,5467,5468,5577,5583,5607,5619,5697,5743,6251,6303,6337,6492,6521,6546,6580,6647,6648,6710,6720,6905,7018,7021,7037,7124,7133,7291,7350,7351,7352,7364,7385,7436,7442,8165,8431,8522,8564,8644,8801,8803,8856,8882,9037,9194,9369,9370,9607,9672,9687,9824,9866,9970,10082,10135,10207,10667,10743,10752,10806,10840,22941,22997,23057,23164,23194,23216,23274,23331,23410,23411,23788,25861,25970,26002,26009,26011,26037,26053,26291,27125,50650,50859,51057,51181,51738,51741,54205,54454,54511,55129,55315,55663,55690,55722,56603,56623,56924,57118,57521,63027,63940,64478,64756,65065,79042,79047,79068,79661,79874,79949,80125,80216,84318,84795,85378,89766,89853,92196,114294,116328,126567,129787,130013,132789,133522,134359,137868,145264,151742,158038,161145,161357,221002,253260,253559,257194,266722,285282,338811,342346,375612,392636,400954,100526835]
"[""C0008845"",""C0016365"",""C0070122"",""C0074393"",""C0085228""]";6532;"""C0028754""";[28,32,34,47,54,115,125,142,153,154,155,181,207,348,364,412,590,627,650,761,781,783,815,834,1002,1066,1136,1149,1232,1238,1268,1282,1350,1361,1363,1401,1431,1489,1520,1528,1571,1630,1728,1780,1806,1826,1892,1947,2033,2065,2099,2110,2119,2147,2166,2180,2194,2262,2309,2512,2532,2641,2643,2673,2688,2696,2752,2778,2780,2784,2876,2878,3033,3099,3148,3162,3213,3215,3290,3356,3358,3382,3383,3428,3481,3485,3569,3630,3667,3708,3710,3778,3818,3929,3949,3952,3953,4023,4145,4159,4160,4199,4318,4329,4519,4544,4594,4660,4673,4685,4808,4814,4855,4864,4886,4889,4915,5054,5079,5101,5105,5122,5126,5167,5209,5346,5367,5443,5465,5467,5468,5577,5583,5607,5619,5697,5743,6251,6303,6337,6492,6521,6546,6580,6647,6648,6710,6720,6905,7018,7021,7037,7124,7133,7291,7350,7351,7352,7364,7385,7436,7442,8165,8431,8522,8564,8644,8801,8803,8856,8882,9037,9194,9369,9370,9607,9672,9687,9824,9866,9970,10082,10135,10207,10667,10743,10752,10806,10840,22941,22997,23057,23164,23194,23216,23274,23331,23410,23411,23788,25861,25970,26002,26009,26011,26037,26053,26291,27125,50650,50859,51057,51181,51738,51741,54205,54454,54511,55129,55315,55663,55690,55722,56603,56623,56924,57118,57521,63027,63940,64478,64756,65065,79042,79047,79068,79661,79874,79949,80125,80216,84318,84795,85378,89766,89853,92196,114294,116328,126567,129787,130013,132789,133522,134359,137868,145264,151742,158038,161145,161357,221002,253260,253559,257194,266722,285282,338811,342346,375612,392636,400954,100526835]
"""C0076275""";[2194,5406,8513];"""C0028754""";[28,32,34,47,54,115,125,142,153,154,155,181,207,348,364,412,590,627,650,761,781,783,815,834,1002,1066,1136,1149,1232,1238,1268,1282,1350,1361,1363,1401,1431,1489,1520,1528,1571,1630,1728,1780,1806,1826,1892,1947,2033,2065,2099,2110,2119,2147,2166,2180,2194,2262,2309,2512,2532,2641,2643,2673,2688,2696,2752,2778,2780,2784,2876,2878,3033,3099,3148,3162,3213,3215,3290,3356,3358,3382,3383,3428,3481,3485,3569,3630,3667,3708,3710,3778,3818,3929,3949,3952,3953,4023,4145,4159,4160,4199,4318,4329,4519,4544,4594,4660,4673,4685,4808,4814,4855,4864,4886,4889,4915,5054,5079,5101,5105,5122,5126,5167,5209,5346,5367,5443,5465,5467,5468,5577,5583,5607,5619,5697,5743,6251,6303,6337,6492,6521,6546,6580,6647,6648,6710,6720,6905,7018,7021,7037,7124,7133,7291,7350,7351,7352,7364,7385,7436,7442,8165,8431,8522,8564,8644,8801,8803,8856,8882,9037,9194,9369,9370,9607,9672,9687,9824,9866,9970,10082,10135,10207,10667,10743,10752,10806,10840,22941,22997,23057,23164,23194,23216,23274,23331,23410,23411,23788,25861,25970,26002,26009,26011,26037,26053,26291,27125,50650,50859,51057,51181,51738,51741,54205,54454,54511,55129,55315,55663,55690,55722,56603,56623,56924,57118,57521,63027,63940,64478,64756,65065,79042,79047,79068,79661,79874,79949,80125,80216,84318,84795,85378,89766,89853,92196,114294,116328,126567,129787,130013,132789,133522,134359,137868,145264,151742,158038,161145,161357,221002,253260,253559,257194,266722,285282,338811,342346,375612,392636,400954,100526835]
"""C0018062""";3973;"""C0028754""";[28,32,34,47,54,115,125,142,153,154,155,181,207,348,364,412,590,627,650,761,781,783,815,834,1002,1066,1136,1149,1232,1238,1268,1282,1350,1361,1363,1401,1431,1489,1520,1528,1571,1630,1728,1780,1806,1826,1892,1947,2033,2065,2099,2110,2119,2147,2166,2180,2194,2262,2309,2512,2532,2641,2643,2673,2688,2696,2752,2778,2780,2784,2876,2878,3033,3099,3148,3162,3213,3215,3290,3356,3358,3382,3383,3428,3481,3485,3569,3630,3667,3708,3710,3778,3818,3929,3949,3952,3953,4023,4145,4159,4160,4199,4318,4329,4519,4544,4594,4660,4673,4685,4808,4814,4855,4864,4886,4889,4915,5054,5079,5101,5105,5122,5126,5167,5209,5346,5367,5443,5465,5467,5468,5577,5583,5607,5619,5697,5743,6251,6303,6337,6492,6521,6546,6580,6647,6648,6710,6720,6905,7018,7021,7037,7124,7133,7291,7350,7351,7352,7364,7385,7436,7442,8165,8431,8522,8564,8644,8801,8803,8856,8882,9037,9194,9369,9370,9607,9672,9687,9824,9866,9970,10082,10135,10207,10667,10743,10752,10806,10840,22941,22997,23057,23164,23194,23216,23274,23331,23410,23411,23788,25861,25970,26002,26009,26011,26037,26053,26291,27125,50650,50859,51057,51181,51738,51741,54205,54454,54511,55129,55315,55663,55690,55722,56603,56623,56924,57118,57521,63027,63940,64478,64756,65065,79042,79047,79068,79661,79874,79949,80125,80216,84318,84795,85378,89766,89853,92196,114294,116328,126567,129787,130013,132789,133522,134359,137868,145264,151742,158038,161145,161357,221002,253260,253559,257194,266722,285282,338811,342346,375612,392636,400954,100526835]
"[""C0025611"",""C0074493"",""C0024977""]";[6530,6531,6532];"""C0028754""";[28,32,34,47,54,115,125,142,153,154,155,181,207,348,364,412,590,627,650,761,781,783,815,834,1002,1066,1136,1149,1232,1238,1268,1282,1350,1361,1363,1401,1431,1489,1520,1528,1571,1630,1728,1780,1806,1826,1892,1947,2033,2065,2099,2110,2119,2147,2166,2180,2194,2262,2309,2512,2532,2641,2643,2673,2688,2696,2752,2778,2780,2784,2876,2878,3033,3099,3148,3162,3213,3215,3290,3356,3358,3382,3383,3428,3481,3485,3569,3630,3667,3708,3710,3778,3818,3929,3949,3952,3953,4023,4145,4159,4160,4199,4318,4329,4519,4544,4594,4660,4673,4685,4808,4814,4855,4864,4886,4889,4915,5054,5079,5101,5105,5122,5126,5167,5209,5346,5367,5443,5465,5467,5468,5577,5583,5607,5619,5697,5743,6251,6303,6337,6492,6521,6546,6580,6647,6648,6710,6720,6905,7018,7021,7037,7124,7133,7291,7350,7351,7352,7364,7385,7436,7442,8165,8431,8522,8564,8644,8801,8803,8856,8882,9037,9194,9369,9370,9607,9672,9687,9824,9866,9970,10082,10135,10207,10667,10743,10752,10806,10840,22941,22997,23057,23164,23194,23216,23274,23331,23410,23411,23788,25861,25970,26002,26009,26011,26037,26053,26291,27125,50650,50859,51057,51181,51738,51741,54205,54454,54511,55129,55315,55663,55690,55722,56603,56623,56924,57118,57521,63027,63940,64478,64756,65065,79042,79047,79068,79661,79874,79949,80125,80216,84318,84795,85378,89766,89853,92196,114294,116328,126567,129787,130013,132789,133522,134359,137868,145264,151742,158038,161145,161357,221002,253260,253559,257194,266722,285282,338811,342346,375612,392636,400954,100526835]
"[""C0033798"",""C0024778"",""C0018318"",""C0031447"",""C0076823""]";6530;"""C0028754""";[28,32,34,47,54,115,125,142,153,154,155,181,207,348,364,412,590,627,650,761,781,783,815,834,1002,1066,1136,1149,1232,1238,1268,1282,1350,1361,1363,1401,1431,1489,1520,1528,1571,1630,1728,1780,1806,1826,1892,1947,2033,2065,2099,2110,2119,2147,2166,2180,2194,2262,2309,2512,2532,2641,2643,2673,2688,2696,2752,2778,2780,2784,2876,2878,3033,3099,3148,3162,3213,3215,3290,3356,3358,3382,3383,3428,3481,3485,3569,3630,3667,3708,3710,3778,3818,3929,3949,3952,3953,4023,4145,4159,4160,4199,4318,4329,4519,4544,4594,4660,4673,4685,4808,4814,4855,4864,4886,4889,4915,5054,5079,5101,5105,5122,5126,5167,5209,5346,5367,5443,5465,5467,5468,5577,5583,5607,5619,5697,5743,6251,6303,6337,6492,6521,6546,6580,6647,6648,6710,6720,6905,7018,7021,7037,7124,7133,7291,7350,7351,7352,7364,7385,7436,7442,8165,8431,8522,8564,8644,8801,8803,8856,8882,9037,9194,9369,9370,9607,9672,9687,9824,9866,9970,10082,10135,10207,10667,10743,10752,10806,10840,22941,22997,23057,23164,23194,23216,23274,23331,23410,23411,23788,25861,25970,26002,26009,26011,26037,26053,26291,27125,50650,50859,51057,51181,51738,51741,54205,54454,54511,55129,55315,55663,55690,55722,56603,56623,56924,57118,57521,63027,63940,64478,64756,65065,79042,79047,79068,79661,79874,79949,80125,80216,84318,84795,85378,89766,89853,92196,114294,116328,126567,129787,130013,132789,133522,134359,137868,145264,151742,158038,161145,161357,221002,253260,253559,257194,266722,285282,338811,342346,375612,392636,400954,100526835]
"[""C0025810"",""C0012201"",""C0085208"",""C1169997""]";[6530,6531];"""C0028754""";[28,32,34,47,54,115,125,142,153,154,155,181,207,348,364,412,590,627,650,761,781,783,815,834,1002,1066,1136,1149,1232,1238,1268,1282,1350,1361,1363,1401,1431,1489,1520,1528,1571,1630,1728,1780,1806,1826,1892,1947,2033,2065,2099,2110,2119,2147,2166,2180,2194,2262,2309,2512,2532,2641,2643,2673,2688,2696,2752,2778,2780,2784,2876,2878,3033,3099,3148,3162,3213,3215,3290,3356,3358,3382,3383,3428,3481,3485,3569,3630,3667,3708,3710,3778,3818,3929,3949,3952,3953,4023,4145,4159,4160,4199,4318,4329,4519,4544,4594,4660,4673,4685,4808,4814,4855,4864,4886,4889,4915,5054,5079,5101,5105,5122,5126,5167,5209,5346,5367,5443,5465,5467,5468,5577,5583,5607,5619,5697,5743,6251,6303,6337,6492,6521,6546,6580,6647,6648,6710,6720,6905,7018,7021,7037,7124,7133,7291,7350,7351,7352,7364,7385,7436,7442,8165,8431,8522,8564,8644,8801,8803,8856,8882,9037,9194,9369,9370,9607,9672,9687,9824,9866,9970,10082,10135,10207,10667,10743,10752,10806,10840,22941,22997,23057,23164,23194,23216,23274,23331,23410,23411,23788,25861,25970,26002,26009,26011,26037,26053,26291,27125,50650,50859,51057,51181,51738,51741,54205,54454,54511,55129,55315,55663,55690,55722,56603,56623,56924,57118,57521,63027,63940,64478,64756,65065,79042,79047,79068,79661,79874,79949,80125,80216,84318,84795,85378,89766,89853,92196,114294,116328,126567,129787,130013,132789,133522,134359,137868,145264,151742,158038,161145,161357,221002,253260,253559,257194,266722,285282,338811,342346,375612,392636,400954,100526835]
"[""C0008845"",""C0016365"",""C0070122"",""C0074393"",""C0085228""]";6532;"""C0028768""";[627,887,3218,3352,3356,6532,26050]
"[""C0078569"",""C0245561"",""C0028420"",""C0020934"",""C1533126""]";[6530,6532];"""C0028768""";[627,887,3218,3352,3356,6532,26050]
"""C0009010""";[3269,6532];"""C0028768""";[627,887,3218,3352,3356,6532,26050]
"""C0049506""";[150,151,152,3356,3358];"""C0028768""";[627,887,3218,3352,3356,6532,26050]
"[""C0027302"",""C0030812"",""C0040233"",""C0031937"",""C0116569"",""C0041030"",""C0012963"",""C0068475""]";[153,154];"""C0028840""";[1649,2908,4312]
"[""C0937916"",""C0937917"",""C0090306""]";5737;"""C0028840""";[1649,2908,4312]
"[""C0673966"",""C0165590""]";760;"""C0028840""";[1649,2908,4312]
"[""C0009014"",""C0525227"",""C0048038"",""C0079466"",""C0025741"",""C0146011"",""C0113293""]";[150,151,152];"""C0028840""";[1649,2908,4312]
"[""C0004057"",""C0020740"",""C0027396"",""C0038792"",""C0021246"",""C0022635"",""C0031990"",""C0040377"",""C0016377"",""C0012091"",""C0069739"",""C0015837"",""C0012228"",""C0025152"",""C0038878"",""C0073631"",""C0961209"",""C0054094"",""C0030125""]";[5742,5743];"""C0029408""";[48,60,205,478,526,652,654,796,816,860,1116,1191,1192,1278,1280,1292,1311,1509,1645,1646,1654,1808,1938,2023,2098,2108,2487,2512,2597,2744,2920,3030,3418,3419,3553,4054,4088,4148,4478,4723,4728,4831,4976,5160,5333,5352,5358,5455,5468,5518,5689,5901,6372,6386,6389,6445,6513,6648,7052,7296,7417,7430,7431,7980,8200,8464,8735,8854,9805,9961,10015,10085,10131,10149,10449,10466,10484,10536,10971,10989,11062,23263,23321,25932,26275,26354,27071,54829,55193,57333,59341,79763,84444,373156]
"[""C0078569"",""C0245561"",""C0028420"",""C0020934"",""C1533126""]";[6530,6532];"""C0029408""";[48,60,205,478,526,652,654,796,816,860,1116,1191,1192,1278,1280,1292,1311,1509,1645,1646,1654,1808,1938,2023,2098,2108,2487,2512,2597,2744,2920,3030,3418,3419,3553,4054,4088,4148,4478,4723,4728,4831,4976,5160,5333,5352,5358,5455,5468,5518,5689,5901,6372,6386,6389,6445,6513,6648,7052,7296,7417,7430,7431,7980,8200,8464,8735,8854,9805,9961,10015,10085,10131,10149,10449,10466,10484,10536,10971,10989,11062,23263,23321,25932,26275,26354,27071,54829,55193,57333,59341,79763,84444,373156]
"[""C0059865"",""C0538927"",""C0083381"",""C0068334"",""C0913246"",""C0762662""]";5743;"""C0029408""";[48,60,205,478,526,652,654,796,816,860,1116,1191,1192,1278,1280,1292,1311,1509,1645,1646,1654,1808,1938,2023,2098,2108,2487,2512,2597,2744,2920,3030,3418,3419,3553,4054,4088,4148,4478,4723,4728,4831,4976,5160,5333,5352,5358,5455,5468,5518,5689,5901,6372,6386,6389,6445,6513,6648,7052,7296,7417,7430,7431,7980,8200,8464,8735,8854,9805,9961,10015,10085,10131,10149,10449,10466,10484,10536,10971,10989,11062,23263,23321,25932,26275,26354,27071,54829,55193,57333,59341,79763,84444,373156]
"""C0000970""";[1268,2166,5742,5743,7442];"""C0029408""";[48,60,205,478,526,652,654,796,816,860,1116,1191,1192,1278,1280,1292,1311,1509,1645,1646,1654,1808,1938,2023,2098,2108,2487,2512,2597,2744,2920,3030,3418,3419,3553,4054,4088,4148,4478,4723,4728,4831,4976,5160,5333,5352,5358,5455,5468,5518,5689,5901,6372,6386,6389,6445,6513,6648,7052,7296,7417,7430,7431,7980,8200,8464,8735,8854,9805,9961,10015,10085,10131,10149,10449,10466,10484,10536,10971,10989,11062,23263,23321,25932,26275,26354,27071,54829,55193,57333,59341,79763,84444,373156]
"""C0073994""";799;"""C0029434""";[1277,1278,6678,10491,64175]
"[""C0039286"",""C0014912"",""C0015011"",""C0009008""]";2099;"""C0029456""";[71,111,302,471,501,760,799,1277,1278,1588,2023,2122,2243,2244,2597,2820,2876,2934,3418,3569,3570,4041,4057,4860,4982,5019,5034,5315,5341,5443,5683,5686,5741,5906,5972,6251,6648,7040,7094,7167,7171,7307,7414,7421,7471,8572,8600,9365,9948,10376,10487,10576,10584,10935,11138,11315,11343,25796,54503,92344,114876,118429,220164,338382,348751]
"[""C0008318"",""C0249582"",""C0006674"",""C0043668"",""C0014695"",""C0006657""]";7421;"""C0029456""";[71,111,302,471,501,760,799,1277,1278,1588,2023,2122,2243,2244,2597,2820,2876,2934,3418,3569,3570,4041,4057,4860,4982,5019,5034,5315,5341,5443,5683,5686,5741,5906,5972,6251,6648,7040,7094,7167,7171,7307,7414,7421,7471,8572,8600,9365,9948,10376,10487,10576,10584,10935,11138,11315,11343,25796,54503,92344,114876,118429,220164,338382,348751]
"[""C0014938"",""C0014942"",""C0244404""]";[2099,2100];"""C0029456""";[71,111,302,471,501,760,799,1277,1278,1588,2023,2122,2243,2244,2597,2820,2876,2934,3418,3569,3570,4041,4057,4860,4982,5019,5034,5315,5341,5443,5683,5686,5741,5906,5972,6251,6648,7040,7094,7167,7171,7307,7414,7421,7471,8572,8600,9365,9948,10376,10487,10576,10584,10935,11138,11315,11343,25796,54503,92344,114876,118429,220164,338382,348751]
"[""C0257685"",""C0771311"",""C0379200""]";2224;"""C0029456""";[71,111,302,471,501,760,799,1277,1278,1588,2023,2122,2243,2244,2597,2820,2876,2934,3418,3569,3570,4041,4057,4860,4982,5019,5034,5315,5341,5443,5683,5686,5741,5906,5972,6251,6648,7040,7094,7167,7171,7307,7414,7421,7471,8572,8600,9365,9948,10376,10487,10576,10584,10935,11138,11315,11343,25796,54503,92344,114876,118429,220164,338382,348751]
"[""C0045010"",""C0025147"",""C0033308"",""C0025175"",""C0028356"",""C0023566"",""C0057558"",""C0057916""]";5241;"""C0029456""";[71,111,302,471,501,760,799,1277,1278,1588,2023,2122,2243,2244,2597,2820,2876,2934,3418,3569,3570,4041,4057,4860,4982,5019,5034,5315,5341,5443,5683,5686,5741,5906,5972,6251,6648,7040,7094,7167,7171,7307,7414,7421,7471,8572,8600,9365,9948,10376,10487,10576,10584,10935,11138,11315,11343,25796,54503,92344,114876,118429,220164,338382,348751]
"[""C0027368"",""C0030072"",""C0016384"",""C0025826"",""C0029995"",""C0285590"",""C0068771""]";367;"""C0029456""";[71,111,302,471,501,760,799,1277,1278,1588,2023,2122,2243,2244,2597,2820,2876,2934,3418,3569,3570,4041,4057,4860,4982,5019,5034,5315,5341,5443,5683,5686,5741,5906,5972,6251,6648,7040,7094,7167,7171,7307,7414,7421,7471,8572,8600,9365,9948,10376,10487,10576,10584,10935,11138,11315,11343,25796,54503,92344,114876,118429,220164,338382,348751]
"""C0070093""";5745;"""C0029456""";[71,111,302,471,501,760,799,1277,1278,1588,2023,2122,2243,2244,2597,2820,2876,2934,3418,3569,3570,4041,4057,4860,4982,5019,5034,5315,5341,5443,5683,5686,5741,5906,5972,6251,6648,7040,7094,7167,7171,7307,7414,7421,7471,8572,8600,9365,9948,10376,10487,10576,10584,10935,11138,11315,11343,25796,54503,92344,114876,118429,220164,338382,348751]
"""C0073994""";799;"""C0029456""";[71,111,302,471,501,760,799,1277,1278,1588,2023,2122,2243,2244,2597,2820,2876,2934,3418,3569,3570,4041,4057,4860,4982,5019,5034,5315,5341,5443,5683,5686,5741,5906,5972,6251,6648,7040,7094,7167,7171,7307,7414,7421,7471,8572,8600,9365,9948,10376,10487,10576,10584,10935,11138,11315,11343,25796,54503,92344,114876,118429,220164,338382,348751]
"""C1690432""";8600;"""C0029456""";[71,111,302,471,501,760,799,1277,1278,1588,2023,2122,2243,2244,2597,2820,2876,2934,3418,3569,3570,4041,4057,4860,4982,5019,5034,5315,5341,5443,5683,5686,5741,5906,5972,6251,6648,7040,7094,7167,7171,7307,7414,7421,7471,8572,8600,9365,9948,10376,10487,10576,10584,10935,11138,11315,11343,25796,54503,92344,114876,118429,220164,338382,348751]
